"incubationID","sampleID","tripID","startDate","dateKilled","timeKilled","depth","t","durationInDays","durationSinceTimepointInDays","filtered","amendment","treatment","MeHg_ambient_ppt","MeHg_198_ppt","MeHg_204_ppt","MeHg_excess_DDL","MeHg_DOA","MeHg_198_above_DDL","bottleID_MeHg","HgT_ambient_ppt","HgT_198_ppt","HgT_204_ppt","HgT_excess_DDL","HgT_DOA","bottleID_HgT","percent_amb_MeHg","percent_198_MeHg","percent_204_MeHg"
"BLiMMP_MA_0057","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:51",16.18,"t1",0.957639,0.957639,"yes","unamended","filtered-unamended",0.283,0.002,0.394,0.002,"1901-01-01",TRUE,"MSC575AR",1.48816848618118,0.800108966097437,0.668854395112237,0.0298474237006535,"2020-04-02","MSC575AR",19.016663948194,0.249965952732048,58.9066922306588
"BLiMMP_MA_0058","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","19:49",16.18,"t0",0,0,"yes","unamended","filtered-unamended",0.368,0.001,0.597,0.003,"1901-01-01",FALSE,"MSC537AR",1.34357993106935,0.866081795368728,0.777648153228458,0.0269474860210415,"2020-04-02","MSC537AR",27.3895130085122,0.115462535449583,76.7699373452525
"BLiMMP_MA_0058","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:56",16.18,"t1",0.963194,0.963194,"yes","unamended","filtered-unamended",0.32,0.001,0.374,0.004,"1901-01-01",FALSE,"MSC576AR",1.2760540409142,0.734027079945149,0.567777599467134,0.0247844771396901,"2020-04-07","MSC576AR",25.0773078364881,0.136234755817827,65.8708621740279
"BLiMMP_MA_0059","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","19:45",16.18,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.505,0.002,0.72,0.006,"1901-01-01",FALSE,"MSC536AR",1.56646350484014,0.841417144515132,0.780245304538668,0.0296088144454898,"2020-04-03","MSC536AR",32.2382231338058,0.237694229673975,92.278671311673
"BLiMMP_MA_0059","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","19:02",16.18,"t1",0.970139,0.970139,"no","molybdate","unfiltered-molybdate",0.315,0.003,0.424,0.003,"1901-01-01",TRUE,"MSC577AR",1.47312857536231,0.737871421910238,0.523645113811756,0.0286122063245331,"2020-04-07","MSC577AR",21.3830622301605,0.406574900574609,80.9708691662541
"BLiMMP_MA_0060","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","19:39",16.18,"t0",0,0,"no","unamended","unfiltered-unamended",0.455,0,0.569,0.006,"1901-01-01",FALSE,"MSC535AR",1.43395524348307,0.704376921647883,0.629182634877705,0.0271041837848371,"2020-04-03","MSC535AR",31.7304185097722,0,90.4347908633234
"BLiMMP_MA_0060","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","19:07",16.18,"t1",0.977778,0.977778,"no","unamended","unfiltered-unamended",0.37,0.05,0.396,0.003,"1901-01-01",TRUE,"MSC578AR",1.04770395373132,0.591186668346268,0.465479770133088,0.020349290749327,"2020-04-07","MSC578AR",35.3153196265293,8.45756555029658,85.0735145561272
"BLiMMP_MA_0061","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","20:28",16.18,"t0",0,0,"no","algal","unfiltered-algal",0.672,-0.001,0.631,0.008,"1901-01-01",FALSE,"MSC543AR",3.26252708536933,0.771464911487587,0.709478782123722,0.0654348141061368,"2020-04-02","MSC543AR",20.5975301481345,-0.129623523391587,88.9385300729069
"BLiMMP_MA_0061","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:40",16.18,"t1",0.925,0.925,"no","algal","unfiltered-algal",0.315,0.011,0.355,0.003,"1901-01-01",TRUE,"MSC572AR",1.3023945876572,0.426995546916178,0.436719911358212,0.0275349987520625,"2020-03-04","MSC572AR",24.1862184460268,2.57613927813616,81.28779814411
"BLiMMP_MA_0062","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","20:16",16.18,"t0",0,0,"no","starch-molybdate","unfiltered-starch-molybdate",0.521,-0.001,0.702,0.004,"1901-01-01",FALSE,"MSC541AR",2.96081112128972,0.788379586725725,0.739097044444977,0.0559643469685277,"2020-04-03","MSC541AR",17.5965294190416,-0.126842452143284,94.9807613595811
"BLiMMP_MA_0062","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:28",16.18,"t1",0.925,0.925,"no","starch-molybdate","unfiltered-starch-molybdate",0.39,0.003,0.471,0.003,"1901-01-01",TRUE,"MSC569AR",1.49903229748136,0.698491643057968,0.558795288480995,0.0283342503714768,"2020-04-03","MSC569AR",26.0167843384875,0.429496906629566,84.288470162364
