sulfurID,S_conc_uM,incubationID,sampleID,tripID,depth,startDate,dateCollected,filtered,amendment,incubationTimePoint,treatment,durationInDays
BLI20_TS_034,0,BLI20_MA_028,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t1,filtered-unamended,0.920139
BLI20_TS_034,0,BLI20_MA_028,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t1,filtered-unamended,0.920139
BLI20_TS_035,0,BLI20_MA_029,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t1,filtered-unamended,0.927083
BLI20_TS_035,0,BLI20_MA_029,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,yes,unamended,t1,filtered-unamended,0.927083
BLI20_TS_036,0,BLI20_MA_030,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t1,unfiltered-unamended,0.934028
BLI20_TS_036,0,BLI20_MA_030,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t1,unfiltered-unamended,0.934028
BLI20_TS_037,36.4,BLI20_MA_008,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t1,unfiltered-molybdate,0.870833
BLI20_TS_037,36.4,BLI20_MA_008,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t1,unfiltered-molybdate,0.870833
BLI20_TS_038,20.5,BLI20_MA_010,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.867361
BLI20_TS_038,20.5,BLI20_MA_010,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.867361
BLI20_TS_038,31.2,BLI20_MA_010,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.867361
BLI20_TS_038,31.2,BLI20_MA_010,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.867361
BLI20_TS_039,26.9,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.86875
BLI20_TS_039,26.9,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.86875
BLI20_TS_039,36.9,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.86875
BLI20_TS_039,36.9,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t1,filtered-unamended,0.86875
