sulfurID,S_conc_uM,sampleID,tripID,depth,startDate,depthOriginal,corewater
BLI21_TS_114,140,BLiMMP_sample_0085,BLiMMP_trip_016,19.9,2021-10-14,19.9,FALSE
BLI21_TS_115,0.871,BLiMMP_sample_0081,BLiMMP_trip_016,14.2,2021-10-14,14.2,FALSE
BLI21_TS_119,143,BLiMMP_sample_0085,BLiMMP_trip_016,19.9,2021-10-14,19.9,FALSE
BLI21_TS_120,0.776,BLiMMP_sample_0081,BLiMMP_trip_016,14.2,2021-10-14,14.2,FALSE
BLI21_TS_125,116,BLiMMP_sample_0084,BLiMMP_trip_016,18.2,2021-10-14,18.2,FALSE
BLiMMP_S_0007,37,BLiMMP_sample_0020,BLiMMP_trip_003,20,2019-07-30,20,FALSE
BLiMMP_S_0008,0,BLiMMP_sample_0021,BLiMMP_trip_003,10.3,2019-07-30,10.3,FALSE
BLiMMP_S_0017,72.2,BLiMMP_sample_0022,BLiMMP_trip_004,21.5,2019-08-21,21.5,FALSE
BLiMMP_S_0018,42,BLiMMP_sample_0023,BLiMMP_trip_004,18.2,2019-08-21,18.2,FALSE
BLiMMP_S_0019,37.7,BLiMMP_sample_0024,BLiMMP_trip_004,16.1,2019-08-21,16.1,FALSE
BLiMMP_S_0020,19.4,BLiMMP_sample_0025,BLiMMP_trip_004,14,2019-08-21,14,FALSE
BLiMMP_S_0021,8.73,BLiMMP_sample_0026,BLiMMP_trip_004,12.5,2019-08-21,12.5,FALSE
BLiMMP_S_0022,3.84,BLiMMP_sample_0027,BLiMMP_trip_004,11.7,2019-08-21,11.7,FALSE
BLiMMP_S_0023,0,BLiMMP_sample_0028,BLiMMP_trip_004,10.7,2019-08-21,10.7,FALSE
BLiMMP_S_0024,0,BLiMMP_sample_0029,BLiMMP_trip_004,9.7,2019-08-21,9.7,FALSE
BLiMMP_S_0025,0,BLiMMP_sample_0030,BLiMMP_trip_004,8.7,2019-08-21,8.7,FALSE
BLiMMP_S_0026,5.38,BLiMMP_sample_0031,BLiMMP_trip_005,11.7,2019-08-30,11.7,FALSE
BLiMMP_S_0027,18.3,BLiMMP_sample_0032,BLiMMP_trip_005,14,2019-08-30,14,FALSE
BLiMMP_S_0028,81,BLiMMP_sample_0033,BLiMMP_trip_005,20.1,2019-08-30,20.1,FALSE
BLiMMP_S_0056,54.8,BLiMMP_sample_0034,BLiMMP_trip_006,16.18,2019-10-08,16.18,FALSE
BLiMMP_S_0057,98.1,BLiMMP_sample_0035,BLiMMP_trip_006,19.3,2019-10-08,19.3,FALSE
