"sampleID","incubationID","startDate","depth","t","treatment","durationInDays","MeHg_198_ppt","HgT_198_ppt","Kmet"
"BLiMMP_sample_0062","BLI20_MA_046","2020-10-10",20.9,"t1","filtered-unamended",0.923611,-0.002,0.834,-0.00259641941766846
"BLiMMP_sample_0064","BLI20_MA_047","2020-10-10",15.7,"t1","unfiltered-molybdate",0.952778,0.005,0.782,0.00671075727250537
"BLiMMP_sample_0064","BLI20_MA_050","2020-10-10",15.7,"t1","unfiltered-unamended",0.970139,0.087,0.778,0.115267186250688
"BLiMMP_sample_0064","BLI20_MA_051","2020-10-10",15.7,"t1","unfiltered-molybdate",0.970833,0.048,0.818,0.0604426369946912
"BLiMMP_sample_0064","BLI20_MA_053","2020-10-10",15.7,"t1","unfiltered-molybdate",0.98125,0.014,0.8,0.0178343949044586
"BLiMMP_sample_0064","BLI20_MA_055","2020-10-10",15.7,"t1","unfiltered-unamended",0.931944,0.019,0.716,0.0284741495724657
"BLiMMP_sample_0064","BLI20_MA_056","2020-10-10",15.7,"t1","unfiltered-unamended",0.934722,0.013,0.774,0.0179688352612594
"BLiMMP_sample_0064","BLI20_MA_057","2020-10-10",15.7,"t1","unfiltered-molybdate",0.939583,0.004,0.758,0.00561636902208881
"BLiMMP_sample_0064","BLI20_MA_059","2020-10-10",15.7,"t1","unfiltered-unamended",0.94375,0.024,0.706,0.0360204866517832
"BLiMMP_sample_0064","BLI20_MA_061","2020-10-10",15.7,"t1","filtered-unamended",0.992361,0,0.512,0
"BLiMMP_sample_0064","BLI20_MA_062","2020-10-10",15.7,"t1","filtered-unamended",0.997917,0.003,0.572,0.00525570287384146
"BLiMMP_sample_0073","BLI20_MA_063","2021-09-10",10.8,"t1","unfiltered-unamended",0.84375,0.001,0.361458527449693,0.00327889673414922
"BLiMMP_sample_0073","BLI20_MA_064","2021-09-10",10.8,"t1","unfiltered-molybdate",0.85,0.001,0.37105291845426,0.00317062750277308
"BLiMMP_sample_0073","BLI20_MA_065","2021-09-10",10.8,"t1","unfiltered-unamended",0.861111,0.002,0.431463179392645,0.00538303395464375
"BLiMMP_sample_0073","BLI20_MA_066","2021-09-10",10.8,"t1","unfiltered-molybdate",0.849306,0,0.42003581823747,0
"BLiMMP_sample_0073","BLI20_MA_067","2021-09-10",10.8,"t1","unfiltered-unamended",0.834028,0,0.369381795946731,0
"BLiMMP_sample_0073","BLI20_MA_068","2021-09-10",10.8,"t1","unfiltered-molybdate",0.820139,0.001,0.316997475523701,0.00384642024657893
"BLiMMP_sample_0073","BLI20_MA_069","2021-09-10",10.8,"t1","unfiltered-unamended",0.81875,0.001,0.278779557231602,0.00438114637217407
"BLiMMP_sample_0073","BLI20_MA_070","2021-09-10",10.8,"t1","unfiltered-molybdate",0.829167,0.001,0.349766026799737,0.00344810408532973
"BLiMMP_sample_0073","BLI20_MA_071","2021-09-10",10.8,"t1","filtered-unamended",0.811111,-0.001,0.198541447407122,-0.00620967005789939
"BLiMMP_sample_0073","BLI20_MA_072","2021-09-10",10.8,"t1","filtered-unamended",0.805556,0.002,0.230878690606998,0.0107535140829376
"BLiMMP_sample_0074","BLI20_MA_073","2021-09-10",11.9,"t1","unfiltered-unamended",0.829861,0.004,0.734864394430411,0.00655914800595466
"BLiMMP_sample_0074","BLI20_MA_074","2021-09-10",11.9,"t1","unfiltered-molybdate",0.823611,0.002,0.75826754504925,0.00320247235453987
"BLiMMP_sample_0074","BLI20_MA_075","2021-09-10",11.9,"t1","unfiltered-unamended",0.815972,0.016,0.760516816700857,0.0257831458133322
"BLiMMP_sample_0074","BLI20_MA_076","2021-09-10",11.9,"t1","unfiltered-molybdate",0.834722,0.002,0.690846074330708,0.00346822162341655
"BLiMMP_sample_0074","BLI20_MA_077","2021-09-10",11.9,"t1","unfiltered-unamended",0.804861,0.015,0.780845542722976,0.0238674070313588
"BLiMMP_sample_0074","BLI20_MA_078","2021-09-10",11.9,"t1","unfiltered-molybdate",0.809722,0.005,0.728324252629797,0.00847831002569045
"BLiMMP_sample_0074","BLI20_MA_079","2021-09-10",11.9,"t1","unfiltered-unamended",0.788889,0.015,0.735519220350218,0.0258512371980558
"BLiMMP_sample_0074","BLI20_MA_080","2021-09-10",11.9,"t1","unfiltered-molybdate",0.798611,0.005,0.815120677592004,0.00768091229729397
"BLiMMP_sample_0074","BLI20_MA_081","2021-09-10",11.9,"t1","filtered-unamended",0.789583,-0.003,0.613252453654192,-0.00619561141072342
"BLiMMP_sample_0074","BLI20_MA_082","2021-09-10",11.9,"t1","filtered-unamended",0.779167,0.004,0.727447540862585,0.00705712419792473
"BLiMMP_sample_0077","BLI20_MA_083","2021-09-10",19.9,"t1","unfiltered-unamended",0.813889,0.059,0.62364520691891,0.116238298436522
"BLiMMP_sample_0077","BLI20_MA_084","2021-09-10",19.9,"t1","unfiltered-molybdate",0.809028,0.019,0.783305255353692,0.0299818901117425
"BLiMMP_sample_0077","BLI20_MA_085","2021-09-10",19.9,"t1","unfiltered-unamended",0.802778,0.097,0.727153370554403,0.166169093443105
"BLiMMP_sample_0077","BLI20_MA_086","2021-09-10",19.9,"t1","unfiltered-molybdate",0.795139,0.015,0.769439044188071,0.0245173757783011
"BLiMMP_sample_0077","BLI20_MA_087","2021-09-10",19.9,"t1","unfiltered-unamended",0.789583,0.089,0.699976182340404,0.161030801517712
"BLiMMP_sample_0077","BLI20_MA_088","2021-09-10",19.9,"t1","unfiltered-molybdate",0.777778,0.019,0.925979147678609,0.0263813332192447
"BLiMMP_sample_0077","BLI20_MA_089","2021-09-10",19.9,"t1","unfiltered-unamended",0.760417,0.056,0.742747341704107,0.0991505444708291
"BLiMMP_sample_0077","BLI20_MA_090","2021-09-10",19.9,"t1","unfiltered-molybdate",0.765972,0.01,0.858557305811846,0.0152060991343705
"BLiMMP_sample_0077","BLI20_MA_091","2021-09-10",19.9,"t1","filtered-unamended",0.772222,0.003,0.630955191726672,0.00615716180043533
"BLiMMP_sample_0077","BLI20_MA_092","2021-09-10",19.9,"t1","filtered-unamended",0.783333,-0.001,0.510456631649214,-0.0025008907882905
"BLiMMP_sample_0081","BLI20_MA_093","2021-10-14",14.2,"t1","unfiltered-unamended",1.056944,0.008,0.456279196249419,0.0165885085676235
"BLiMMP_sample_0081","BLI20_MA_094","2021-10-14",14.2,"t1","unfiltered-molybdate",1.043056,0.002,0.448592646983287,0.00427435136234018
"BLiMMP_sample_0081","BLI20_MA_095","2021-10-14",14.2,"t1","unfiltered-unamended",1.052083,0.005,0.545262413352951,0.0087159441708733
"BLiMMP_sample_0081","BLI20_MA_096","2021-10-14",14.2,"t1","unfiltered-molybdate",1.033333,0.003,0.439211594735293,0.0066100867503876
"BLiMMP_sample_0081","BLI20_MA_097","2021-10-14",14.2,"t1","unfiltered-unamended",1.043056,0.001,0.508743910419492,0.00188448702038296
"BLiMMP_sample_0081","BLI20_MA_098","2021-10-14",14.2,"t1","unfiltered-molybdate",1.034722,0.003,0.493504444405555,0.00587498150138758
"BLiMMP_sample_0081","BLI20_MA_099","2021-10-14",14.2,"t1","unfiltered-unamended",1.061806,0.002,0.553017566122859,0.00340600980660269
"BLiMMP_sample_0081","BLI20_MA_100","2021-10-14",14.2,"t1","unfiltered-molybdate",1.067361,0.002,0.608077792273134,0.00308148120183828
"BLiMMP_sample_0081","BLI20_MA_101","2021-10-14",14.2,"t1","filtered-unamended",1.075694,-0.001,0.444897359479092,-0.00208954354290385
"BLiMMP_sample_0081","BLI20_MA_102","2021-10-14",14.2,"t1","filtered-unamended",1.077778,0.001,0.438909541671899,0.00211395463563156
"BLiMMP_sample_0082","BLI20_MA_103","2021-10-14",15.2,"t1","unfiltered-unamended",1.029167,0.059,0.621968644648925,0.0921717150022651
"BLiMMP_sample_0082","BLI20_MA_104","2021-10-14",15.2,"t1","unfiltered-molybdate",1.040278,0.016,0.573264477548669,0.0268296827379531
"BLiMMP_sample_0082","BLI20_MA_105","2021-10-14",15.2,"t1","unfiltered-unamended",1.036806,0.065,0.601281962831874,0.104264791405452
"BLiMMP_sample_0082","BLI20_MA_106","2021-10-14",15.2,"t1","unfiltered-molybdate",1.044444,0.028,0.65783599377968,0.0407525922869435
"BLiMMP_sample_0082","BLI20_MA_107","2021-10-14",15.2,"t1","unfiltered-unamended",1.048611,0.129,0.765842884058139,0.160633314150568
