"sampleDate","mean_chlor_rfu","sd_chlor_rfu","mean_phyco_rfu","sd_phyco_rfu","mean_turb","sd_turb"
2020-04-01,2.88,0.936181800526139,1.19083333333333,0.144879782975926,1.45,0.0972344869608795
2020-04-02,3.33125,0.865891410502846,1.20875,0.119648488789308,1.50583333333333,0.0300603258200206
2020-04-03,3.14541666666667,0.920996526295987,1.15333333333333,0.154037450744564,1.4225,0.0831054856139499
2020-04-04,2.53875,0.619279472627175,0.994166666666667,0.0784588879697468,1.44875,0.0462801018374739
2020-04-05,2.55708333333333,1.10257595288672,1.04125,0.211728137827323,1.42208333333333,0.132073074854223
2020-04-06,3.725,0.817679643870385,1.3225,0.189260574915621,1.61208333333333,0.0635185126500563
2020-04-07,3.45125,1.2418685518202,1.27541666666667,0.281872298663106,1.495,0.168497193887097
2020-04-08,3.17625,0.900602757094912,1.18166666666667,0.196594189543635,1.45416666666667,0.168029931771142
2020-04-09,2.71666666666667,0.622440265453619,1.06833333333333,0.10179547554081,1.48625,0.0520712304778586
2020-04-10,3.19375,1.01549222376232,1.20458333333333,0.217115059992075,1.58083333333333,0.0545269511874367
2020-04-11,3.82875,1.02481944327006,1.36916666666667,0.23555515677662,1.64083333333333,0.0398820725407409
2020-04-12,3.52875,0.888385504354853,1.2525,0.242150689699078,1.57791666666667,0.0688400266949565
2020-04-13,1.98875,0.458061249938971,0.8775,0.0704797226466437,1.55791666666667,0.075698438710375
2020-04-14,1.975,0.276358305544592,0.865,0.0290426972037648,1.53666666666667,0.0477918190804084
2020-04-15,1.97083333333333,0.271884193164578,0.875,0.0263752189358315,1.47333333333333,0.0168540194320077
2020-04-16,1.90791666666667,0.432163205550732,0.852083333333333,0.06520730598348,1.46041666666667,0.0142886901662352
2020-04-17,2.03166666666667,0.828107673458337,0.877083333333333,0.185155144503824,1.40708333333333,0.0979120797568862
2020-04-18,1.81625,0.565076466545439,0.794583333333333,0.0783514471810337,1.48,0.133742126952352
2020-04-19,1.98416666666667,0.708525208453794,0.802083333333333,0.110255796127506,1.53875,0.0846636567991762
2020-04-20,2.2125,0.509511701448596,0.807083333333333,0.0722001545624425,1.52583333333333,0.0204124145231932
2020-04-21,1.99208333333333,0.478048380002682,0.744166666666667,0.0553971170703869,1.47708333333333,0.0355673478331469
2020-04-22,2.19208333333333,0.640190047643236,0.751666666666667,0.0761957813887966,1.56916666666667,0.0441259725023185
2020-04-23,2.37041666666667,0.587326138319778,0.786666666666667,0.0781117742428267,1.49375,0.0560133912560202
2020-04-24,2.50428571428571,0.7299833657596,0.791904761904762,0.0941073348692357,1.48571428571429,0.113206511675408
2020-04-25,2.31375,0.82425625236647,0.734583333333333,0.103712779249763,1.44375,0.0385399284762767
2020-04-26,1.53208333333333,0.848512658646916,0.56125,0.142289126963988,1.25125,0.140133864572415
2020-04-27,2.26666666666667,0.50683730917427,0.69125,0.0782589069802226,1.38708333333333,0.0412288593169846
2020-04-28,1.97041666666667,0.662954383417708,0.643333333333333,0.0839599628532483,1.36875,0.0425606983434043
2020-04-29,1.89166666666667,0.171785170860398,0.580416666666667,0.0398343490259203,1.41166666666667,0.182558309128574
2020-04-30,1.50375,0.504206759694611,0.533333333333333,0.0610535521643422,1.57208333333333,0.225946880380374
2020-05-01,2.07909090909091,0.367538907443618,0.673636363636364,0.0656502605475158,1.62227272727273,0.0538013823668941
2020-05-02,2.25125,0.501695494862389,0.70125,0.0715245473216379,1.50833333333333,0.0249637418228338
2020-05-03,2.45833333333333,0.442076785251127,0.67875,0.0660903531735812,1.74875,0.1538862510456
2020-05-04,2.75125,0.566409841630292,0.789583333333333,0.0647724556774927,1.63708333333333,0.0546513985394595
2020-05-05,2.69125,0.684526573943468,0.697916666666667,0.138280721617348,1.52416666666667,0.0379835967647669
2020-05-06,2.75727272727273,1.22318546589742,0.740909090909091,0.228116701355314,1.47545454545455,0.155156672668606
2020-05-07,2.74791666666667,0.78662172095872,0.7875,0.113300293564223,1.54,0.0733069781363157
2020-05-08,2.24208333333333,0.613485970688722,0.646666666666667,0.07221144475513,1.55291666666667,0.0364129894007818
2020-05-09,2.72791666666667,0.798030070081086,0.760833333333333,0.125070994331973,1.62708333333333,0.0805135239337584
2020-05-10,2.16375,0.31924928926413,0.6,0.0577852094811692,1.51916666666667,0.0482670710208061
2020-05-11,1.73083333333333,0.302395029098013,0.550416666666667,0.029558956071857,1.48541666666667,0.0188769854508114
2020-05-12,1.0425,0.603664533963374,0.415416666666667,0.120035471810435,1.34333333333333,0.179774415809676
2020-05-13,1.14,0.622233005427612,0.46375,0.109695725413131,1.4725,0.049011977240706
2020-05-14,0.69375,0.144517563247366,0.3475,0.0273861278752583,1.355,0.12744990490726
2020-05-15,0.610833333333333,0.65141262330193,0.295,0.0640651841961525,1.18541666666667,0.21502232779243
2020-05-16,0.0608333333333333,0.0876215511839642,0.211666666666667,0.019034674690672,0.96625,0.0528996178173093
2020-05-17,0.06375,0.0186063336574918,0.25625,0.00575779245136915,1.195,0.0577852094811692
2020-05-18,-0.0266666666666667,0.0157884566161117,0.215833333333333,0.0186306588524229,0.940833333333333,0.0835576690553956
2020-05-19,-0.04125,0.00991814323436556,0.192916666666667,0.00624093545570846,0.809583333333333,0.0242234465408793
2020-05-20,-0.0504166666666667,0.0148848235130448,0.179583333333333,0.0112207752451178,0.769166666666667,0.0233901998553959
2020-05-21,-0.0558333333333333,0.00583592075121765,0.158333333333333,0.0127404411454121,0.668333333333333,0.0585822845062483
