"sampleID","incubationID","startDate","depth","treatment","durationInDays_t0","durationInDays_t1","durationInDays_t2","HgT_198_ppt_t0","HgT_198_ppt_t1","HgT_198_ppt_t2","MeHg_198_ppt_t0","MeHg_198_ppt_t1","MeHg_198_ppt_t2","Kmet_assumption_t1","Kmet_assumption_t2","Kmet_assumption_slope","Kmet_int_t1","Kmet_int_t2","HgT_204_ppt_t0","HgT_204_ppt_t1","HgT_204_ppt_t2","MeHg_204_ppt_t0","MeHg_204_ppt_t1","MeHg_204_ppt_t2","MeHg_204_per_t0","MeHg_204_per_t1","MeHg_204_per_t2","Kdem_t1","Kdem_t2","Kdem_slope"
"BLiMMP_sample_0048","BLI20_MA_013","2020-09-02",15.5,"unfiltered-unamended",0,0.834722,3.4625,0.743,0.615,0.451,-0.001,0.049,0.14,0.0806193571146097,0.0548075661650738,0.0528355983924631,0.0817327016790676,0.0602971402138841,0.935,0.856,0.727,0.737,0.692,0.659,0.788235294117647,0.808411214953271,0.90646492434663,-0.0302786036252521,0.0517178649473731,-0.0411330561488894
"BLiMMP_sample_0048","BLI20_MA_014","2020-09-02",15.5,"unfiltered-molybdate",0,0.820833,3.473611,0.679,0.584,0.49,-0.002,0.023,0.06,0.0448554715171551,0.0262869823663518,0.0248751471076441,0.0419821554623256,0.0266339134906298,0.84,0.815,0.695,0.76,0.649,0.742,0.904761904761905,0.796319018404908,1.06762589928058,0.155539479991411,0.0570940664506688,-0.0631003150723483
"BLiMMP_sample_0048","BLI20_MA_015","2020-09-02",15.5,"unfiltered-unamended",0,0.836111,3.471528,0.756,0.643,0.441,0.002,0.05,0.114,0.0759373617762037,0.042675198975249,0.040134570440486,0.0818385820618207,0.0470838986433559,0.922,0.91,0.705,0.752,0.699,0.634,0.815618221258134,0.768131868131868,0.899290780141844,0.0717428160499402,0.0725609659314737,-0.03576033009897
"BLiMMP_sample_0048","BLI20_MA_016","2020-09-02",15.5,"unfiltered-molybdate",0,0.835417,3.483333,0.789,0.613,0.562,-0.004,0.019,0.047,0.0348937402849474,0.0185565902743039,0.0173099238056105,0.0291780105003187,0.0176316986284383,0.918,0.738,0.806,0.778,0.662,0.733,0.847494553376906,0.897018970189702,0.909429280397022,-0.0679811372986601,0.0416666194858162,-0.0166062573977104
"BLiMMP_sample_0048","BLI20_MA_017","2020-09-02",15.5,"unfiltered-unamended",0,0.834028,3.470833,0.661,0.585,0.439,-0.001,0.035,0.112,0.0653010869503781,0.0492541996003764,0.0480291408787995,0.0652297869515025,0.0534901559199638,0.779,0.734,0.654,0.786,0.534,0.572,1.00898587933248,0.727520435967303,0.874617737003058,0.392143832356682,0.163523290852887,0.0143819721067828
"BLiMMP_sample_0048","BLI20_MA_018","2020-09-02",15.5,"unfiltered-molybdate",0,0.831944,3.494444,0.842,0.634,0.628,-0.001,0.025,0.037,0.0371165124785829,0.0129149705447179,0.0110713986237447,0.0362295050896741,0.0128597673403161,1.006,0.794,0.815,0.897,0.816,0.704,0.891650099403579,1.02770780856423,0.863803680981595,-0.170699448902642,0.0676203236403864,0.0227744489740533
"BLiMMP_sample_0048","BLI20_MA_019","2020-09-02",15.5,"filtered-unamended",0,0.830556,3.504861,0.793,0.657,0.56,0,0,0.002,0,0.000719591474765643,0.000774343978287265,0,0.000720500432740149,0.946,0.872,0.765,0.771,0.717,0.557,0.815010570824524,0.822247706422018,0.728104575163399,-0.0106442096369053,0.108602265130145,0.0354292024020502
"BLiMMP_sample_0048","BLI20_MA_020","2020-09-02",15.5,"filtered-unamended",0,0.851389,3.491667,0.855,0.756,0.667,-0.001,0,0.002,0.00137374413255851,0.00100489878611694,0.000976651817925318,0,0.000670717294942829,0.843,0.829,0.748,0.714,0.522,0.408,0.846975088967971,0.629674306393245,0.545454545454545,0.3482175264073,0.209184927690901,0.109013482316716
"BLiMMP_sample_0050","BLI20_MA_021","2020-09-02",11,"unfiltered-unamended",0,0.879861,3.447917,0.674,0.559,0.404,0,0.005,0.013,0.00843132906915156,0.00559405398328706,0.00537520475880298,0.00846275807664911,0.00564870646846217,1.054,0.927,0.811,1.1,1.024,0.875,1.04364326375712,1.10463861920173,1.07891491985203,-0.0645562314370605,0.0511175652748245,-0.00540417076993284
"BLiMMP_sample_0050","BLI20_MA_022","2020-09-02",11,"unfiltered-molybdate",0,0.886806,3.45625,0.812,0.611,0.521,0.001,0.004,0.005,0.00416616631009282,0.00142527547902618,0.00121373845641833,0.00556861550393498,0.00178710217482218,1.169,0.94,0.898,1.206,0.881,0.956,1.03165098374679,0.937234042553192,1.06458797327394,0.108234117882527,0.0220348012284407,-0.0181480172123886
"BLiMMP_sample_0050","BLI20_MA_023","2020-09-02",11,"unfiltered-unamended",0,0.893056,3.463194,0.673,0.539,0.396,0,0.002,0.015,0.0033276392545151,0.00643575309832535,0.00667574590771708,0.00333259355857416,0.00650855779936401,1.011,0.9,0.813,1.155,0.821,0.895,1.14243323442137,0.912222222222222,1.10086100861009,0.251979783806732,0.0704817473819555,-0.00792678872050172
"BLiMMP_sample_0050","BLI20_MA_024","2020-09-02",11,"unfiltered-molybdate",0,0.899306,3.48125,0.639,0.552,0.47,0,0.002,0.006,0.00348033978849704,0.00269721259935435,0.00263673410003142,0.00348579772109994,0.00270995539916945,0.957,0.866,0.819,0.929,0.861,0.873,0.970741901776385,0.994226327944573,1.06593406593407,-0.0265807728452954,0.0304847599291689,-0.0268938638502422
"BLiMMP_sample_0050","BLI20_MA_025","2020-09-02",11,"unfiltered-unamended",0,0.902778,3.471528,0.735,0.536,0.478,-0.001,0.005,0.016,0.00904238395942574,0.00666255657470724,0.00647867428286779,0.00756106713987256,0.00633990032394669,1.066,0.871,0.89,1.06,0.956,0.778,0.99437148217636,1.09758897818599,0.874157303370787,-0.109396057301547,0.070684821549493,0.048436957141004
"BLiMMP_sample_0050","BLI20_MA_026","2020-09-02",11,"unfiltered-molybdate",0,0.911111,3.479861,0.637,0.522,0.46,0,0.001,0.006,0.00172301587042178,0.0027067610678401,0.00278280473386472,0.00172436973326105,0.00271958938329725,0.899,0.776,0.768,0.978,0.75,0.846,1.08787541713014,0.966494845360825,1.1015625,0.12984800887714,0.0722622412042064,-0.0139079656592624
"BLiMMP_sample_0050","BLI20_MA_027","2020-09-02",11,"unfiltered-unamended",0,0.911806,3.477083,0.648,0.494,0.45,0,0.005,0.009,0.00846238057516187,0.00399440821196644,0.00364900435599617,0.00849519756906112,0.00402240670548843,0.912,0.805,0.766,0.923,0.902,0.69,1.01206140350877,1.12049689440994,0.900783289817232,-0.111627910120727,0.110165022180763,0.0447185852657505
"BLiMMP_sample_0050","BLI20_MA_028","2020-09-02",11,"filtered-unamended",0,0.920139,3.499306,0.974,0.618,0.582,-0.002,0.001,0.001,0.00334740961476865,0.000880197997981204,0.000689440947743997,0.00111637639153435,0.000293550051504506,1.176,0.939,0.764,1.233,0.846,0.653,1.0484693877551,0.900958466453674,0.854712041884817,0.164787596556403,0.135315266630434,0.0501629200977144
"BLiMMP_sample_0050","BLI20_MA_029","2020-09-02",11,"filtered-unamended",0,0.927083,3.493056,0.759,0.566,0.521,0,-0.002,-0.001,-0.00284229795315736,-0.000377183491090178,-0.000186527537201712,-0.00283855972556483,-0.000376935235148507,1.027,0.898,0.793,1.088,0.786,0.832,1.05939629990263,0.875278396436526,1.04918032786885,0.205928156767326,0.0691721105096106,-0.0129381917603867
