"uptakeID","sampleID","depth","startDate"
"BLI20_LEU_021","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_022","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_023","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_024","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_025","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_026","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_027","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_028","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_029","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_030","BLiMMP_sample_0037","17.3","2020-08-07"
"BLI20_LEU_031","BLiMMP_sample_0046","20.7","2020-09-02"
"BLI20_LEU_032","BLiMMP_sample_0046","20.7","2020-09-02"
"BLI20_LEU_033","BLiMMP_sample_0046","20.7","2020-09-02"
"BLI20_LEU_034","BLiMMP_sample_0046","20.7","2020-09-02"
"BLI20_LEU_035","BLiMMP_sample_0047","18.1","2020-09-02"
"BLI20_LEU_036","BLiMMP_sample_0047","18.1","2020-09-02"
"BLI20_LEU_037","BLiMMP_sample_0047","18.1","2020-09-02"
"BLI20_LEU_038","BLiMMP_sample_0047","18.1","2020-09-02"
"BLI20_LEU_039","BLiMMP_sample_0048","15.5","2020-09-02"
"BLI20_LEU_040","BLiMMP_sample_0048","15.5","2020-09-02"
"BLI20_LEU_041","BLiMMP_sample_0048","15.5","2020-09-02"
"BLI20_LEU_042","BLiMMP_sample_0048","15.5","2020-09-02"
"BLI20_LEU_043","BLiMMP_sample_0049","13.2","2020-09-02"
"BLI20_LEU_044","BLiMMP_sample_0049","13.2","2020-09-02"
"BLI20_LEU_045","BLiMMP_sample_0049","13.2","2020-09-02"
"BLI20_LEU_046","BLiMMP_sample_0049","13.2","2020-09-02"
"BLI20_LEU_047","BLiMMP_sample_0050","11.0","2020-09-02"
"BLI20_LEU_048","BLiMMP_sample_0050","11.0","2020-09-02"
"BLI20_LEU_049","BLiMMP_sample_0050","11.0","2020-09-02"
"BLI20_LEU_050","BLiMMP_sample_0050","11.0","2020-09-02"
"BLI20_LEU_051","BLiMMP_sample_0051","9.4","2020-09-02"
"BLI20_LEU_052","BLiMMP_sample_0051","9.4","2020-09-02"
"BLI20_LEU_053","BLiMMP_sample_0051","9.4","2020-09-02"
"BLI20_LEU_054","BLiMMP_sample_0051","9.4","2020-09-02"
"BLI20_LEU_055","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_056","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_057","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_058","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_059","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_060","BLiMMP_sample_0052","20.1","2020-09-17"
